created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-09-14 21:46:58 IST,1,0,1,76,22,80,46,51,,,,field1 is less than field2
2019-09-14 21:47:18 IST,2,1,70,91,84,80,46,51,,,,field1 is less than field2
2019-09-14 21:47:39 IST,3,2,22,39,54,80,46,51,,,,field1 is less than field2
2019-09-14 21:47:59 IST,4,3,39,76,39,80,46,51,,,,field1 is less than field2
2019-09-14 21:48:20 IST,5,4,25,12,18,80,46,51,,,,field1 is less than field2
2019-09-14 21:48:41 IST,6,5,56,14,87,80,46,51,,,,field1 is less than field2
2019-09-14 21:49:02 IST,7,6,13,84,45,80,46,51,,,,field1 is less than field2
2019-09-14 21:49:22 IST,8,7,66,3,72,80,46,51,,,,field1 is less than field2
2019-09-14 21:49:43 IST,9,8,35,76,69,80,46,51,,,,field1 is less than field2
2019-09-14 21:50:18 IST,10,0,51,52,46,25,56,25,,,,field1 is less than field2
2019-09-14 21:50:39 IST,11,1,57,36,80,33,37,41,,,,field1 is less than field2
2019-09-14 21:51:00 IST,12,2,43,12,67,78,8,31,,,,field1 is less than field2
2019-09-14 21:51:20 IST,13,3,93,28,50,89,79,9,,,,field1 is less than field2
2019-09-14 21:51:41 IST,14,4,90,72,42,95,92,3,,,,field1 is less than field2
2019-09-14 21:52:01 IST,15,5,50,21,67,22,30,42,,,,field1 is less than field2
2019-09-14 21:52:22 IST,16,6,8,98,81,59,44,59,,,,field1 is less than field2
2019-09-14 21:52:43 IST,17,7,75,5,50,20,28,1,,,,field1 is less than field2
2019-09-14 21:53:03 IST,18,8,45,5,95,83,58,53,,,,field1 is less than field2
2019-09-14 21:53:24 IST,19,9,26,89,41,62,82,72,,,,field1 is less than field2
2019-09-14 21:53:44 IST,20,10,18,88,45,5,75,77,,,,field1 is less than field2
2019-09-14 21:54:05 IST,21,11,68,65,36,13,42,0,,,,field1 is less than field2
2019-09-14 21:54:26 IST,22,12,97,46,57,80,60,0,,,,field1 is less than field2
2019-09-14 21:54:47 IST,23,13,68,44,78,71,62,2,,,,field1 is less than field2
2019-09-14 21:55:07 IST,24,14,90,12,73,84,80,59,,,,field1 is less than field2
2019-09-14 21:55:28 IST,25,15,47,45,70,3,36,61,,,,field1 is less than field2
2019-09-14 21:55:49 IST,26,16,91,1,79,73,24,15,,,,field1 is less than field2
2019-09-14 21:56:09 IST,27,17,75,70,16,0,14,16,,,,field1 is less than field2
2019-09-14 21:56:30 IST,28,18,24,23,35,3,20,37,,,,field1 is less than field2
2019-09-14 21:56:50 IST,29,19,67,70,35,27,50,66,,,,field1 is less than field2
2019-09-14 21:57:11 IST,30,20,61,3,6,4,23,63,,,,field1 is less than field2
2019-09-14 21:57:31 IST,31,21,44,35,61,31,60,31,,,,field1 is less than field2
2019-09-14 21:57:52 IST,32,22,17,98,54,20,50,51,,,,field1 is greater than field2
2019-09-14 21:58:13 IST,33,23,56,73,12,75,42,73,,,,field1 is less than field2
2019-09-14 21:58:34 IST,34,24,92,19,36,48,17,3,,,,field1 is less than field2
2019-09-14 21:58:54 IST,35,25,90,32,34,33,61,4,,,,field1 is less than field2
2019-09-14 21:59:15 IST,36,26,54,70,75,62,36,70,,,,field1 is less than field2
2019-09-14 21:59:36 IST,37,27,11,91,37,80,67,60,,,,field1 is greater than field2
2019-09-14 21:59:57 IST,38,28,77,97,45,25,26,64,,,,field1 is less than field2
2019-09-14 22:00:17 IST,39,29,58,72,1,84,34,96,,,,field1 is less than field2
2019-09-14 22:00:38 IST,40,30,32,11,0,37,41,34,,,,field1 is less than field2
2019-09-14 22:00:58 IST,41,31,19,76,78,28,71,2,,,,field1 is greater than field2
2019-09-14 22:01:19 IST,42,32,80,88,66,25,38,93,,,,field1 is less than field2
2019-09-14 22:01:40 IST,43,33,24,31,10,87,71,57,,,,field1 is greater than field2
2019-09-14 22:02:00 IST,44,34,13,90,56,24,40,31,,,,field1 is greater than field2
2019-09-14 22:02:21 IST,45,35,33,13,88,95,58,82,,,,field1 is greater than field2
2019-09-14 22:02:41 IST,46,36,7,66,64,38,56,91,,,,field1 is greater than field2
2019-09-14 22:03:02 IST,47,37,19,94,6,63,72,28,,,,field1 is greater than field2
2019-09-14 22:03:23 IST,48,38,83,32,98,18,62,52,,,,field1 is less than field2
2019-09-14 22:03:43 IST,49,39,11,52,81,64,4,13,,,,field1 is greater than field2
2019-09-14 22:04:04 IST,50,40,89,73,63,57,63,4,,,,field1 is less than field2
2019-09-14 22:04:25 IST,51,41,35,10,29,91,49,70,,,,field1 is greater than field2
2019-09-14 22:04:45 IST,52,42,70,71,67,8,64,17,,,,field1 is less than field2
2019-09-14 22:05:06 IST,53,43,25,39,56,63,97,58,,,,field1 is greater than field2
2019-09-14 22:05:26 IST,54,44,62,71,6,79,18,69,,,,field1 is less than field2
2019-09-14 22:05:47 IST,55,45,11,95,40,80,20,8,,,,field1 is greater than field2
2019-09-14 22:06:08 IST,56,46,17,55,43,40,57,41,,,,field1 is greater than field2
2019-09-14 22:06:28 IST,57,47,64,50,13,56,24,89,,,,field1 is less than field2
2019-09-14 22:06:49 IST,58,48,80,41,19,27,55,27,,,,field1 is less than field2
2019-09-14 22:07:09 IST,59,49,90,69,41,87,39,69,,,,field1 is less than field2
2019-09-14 22:09:03 IST,60,nan,nan,3.40000,8.30000,19.76355,0.09116,2.23295,,,,
2019-09-14 22:09:25 IST,61,78.90000,29.90000,3.40000,7.70000,21.83520,0.09116,2.45856,,,,
2019-09-14 22:09:47 IST,62,69.70000,29.90000,3.70000,10.80000,21.55261,0.09215,2.43914,,,,
2019-09-14 22:10:09 IST,63,68.40000,29.70000,3.60000,8.30000,21.69365,0.09215,2.43914,,,,
2019-09-14 22:10:30 IST,64,69.20000,29.50000,3.60000,8.50000,20.71669,0.09315,2.25114,,,,
2019-09-14 22:10:52 IST,65,69.20000,29.40000,3.70000,6.70000,21.41205,0.09514,2.40064,,,,
2019-09-14 22:11:14 IST,66,69.70000,29.20000,3.80000,8.60000,21.41205,0.09414,2.40064,,,,
2019-09-14 22:11:36 IST,67,70.10000,29.10000,3.50000,8.70000,21.55261,0.09514,2.38156,,,,
2019-09-14 22:11:58 IST,68,70.50000,28.90000,3.60000,7.40000,21.55261,0.09614,2.38156,,,,
2019-09-14 22:12:19 IST,69,70.80000,28.90000,3.50000,6.50000,21.41205,0.09715,2.36259,,,,
2019-09-14 22:12:41 IST,70,71.00000,28.70000,3.40000,5.00000,21.41205,0.09715,2.36259,,,,
2019-09-14 22:13:03 IST,71,71.30000,28.70000,3.30000,5.40000,21.41205,0.09815,2.36259,,,,
2019-09-14 22:13:25 IST,72,71.60000,28.60000,3.40000,6.30000,21.41205,0.09916,2.34374,,,,
2019-09-14 22:13:47 IST,73,71.80000,28.50000,3.40000,7.30000,21.41205,0.09916,2.34374,,,,
2019-09-14 22:14:08 IST,74,72.00000,28.50000,3.30000,8.40000,21.27200,0.10017,2.34374,,,,
2019-09-14 22:14:30 IST,75,72.20000,28.40000,3.40000,6.50000,21.27200,0.10118,2.30637,,,,
2019-09-14 22:14:55 IST,76,72.50000,28.40000,3.40000,7.10000,21.27200,0.10220,2.32500,,,,
2019-09-14 22:15:16 IST,77,72.80000,28.40000,3.40000,9.10000,20.57908,0.10220,2.10861,,,,
2019-09-14 22:16:00 IST,78,nan,nan,3.30000,8.00000,19.36221,0.10628,2.12605,,,,
2019-09-14 22:16:22 IST,79,77.90000,28.60000,3.30000,7.30000,20.03348,0.10526,2.17902,,,,
2019-09-14 22:16:43 IST,80,75.20000,28.80000,3.00000,5.90000,20.30532,0.10628,2.17902,,,,
2019-09-14 22:17:05 IST,81,71.20000,28.90000,3.00000,7.10000,20.16916,0.10731,2.17902,,,,
2019-09-14 22:17:27 IST,82,71.00000,28.80000,3.20000,6.80000,20.03348,0.10731,2.16126,,,,
2019-09-14 22:17:49 IST,83,71.30000,28.70000,3.20000,6.50000,20.03348,0.10834,2.17902,,,,
2019-09-14 22:18:11 IST,84,71.40000,28.60000,3.30000,7.00000,19.62930,0.10937,2.09127,,,,
2019-09-14 22:18:32 IST,85,71.50000,28.50000,3.40000,5.50000,19.49552,0.11040,2.09127,,,,
2019-09-14 22:18:54 IST,86,71.70000,28.40000,3.00000,6.50000,19.62930,0.11144,2.09127,,,,
2019-09-14 22:19:16 IST,87,71.90000,28.40000,2.90000,4.80000,19.49552,0.11248,2.09127,,,,
2019-09-14 22:19:38 IST,88,72.10000,28.30000,3.10000,6.10000,19.62930,0.11352,2.07403,,,,
2019-09-14 22:20:00 IST,89,72.30000,28.30000,3.10000,6.40000,19.89828,0.11352,2.12605,,,,
2019-09-14 22:20:21 IST,90,72.40000,28.30000,3.00000,6.40000,20.03348,0.11352,1.97275,,,,
2019-09-14 22:20:43 IST,91,72.50000,28.30000,2.90000,4.60000,20.16916,0.11456,2.14360,,,,
2019-09-14 22:21:05 IST,92,72.60000,28.20000,3.10000,5.50000,20.16916,0.11352,2.12605,,,,
2019-09-14 22:21:27 IST,93,72.50000,28.20000,3.20000,5.90000,20.16916,0.11456,2.14360,,,,
