created_at,entry_id,field6,field7,field4,field5,field3,field1,field2,latitude,longitude,elevation,status
2019-09-17 19:40:57 IST,62,57,24.6,28.58588,0.1305,2.02293,16.1,18.2,,,,
2019-09-17 19:41:14 IST,63,56.7,24.5,26.16525,0.13266,2.19689,16.3,18.6,,,,
2019-09-17 19:41:31 IST,64,56.5,24.4,26.48059,0.13812,1.98937,16.4,20.3,,,,
2019-09-17 19:41:48 IST,65,56.7,24.4,26.48059,0.13922,1.98937,16.6,23.5,,,,
2019-09-17 19:42:05 IST,66,56.6,24.3,26.32264,0.14143,1.98937,16.8,21.4,,,,
2019-09-17 19:42:21 IST,67,56.5,24.3,26.32264,0.14365,1.98937,16.8,21.5,,,,
2019-09-17 19:42:38 IST,68,56.6,24.2,26.6391,0.14365,2.19689,16.9,20.9,,,,
2019-09-17 19:42:55 IST,69,56.8,24.2,28.42045,0.14588,2.19689,16.9,18.9,,,,
2019-09-17 19:43:12 IST,70,56.9,24.2,28.42045,0.14476,2.17902,16.2,18.6,,,,
2019-09-17 19:43:29 IST,71,56.9,24.2,26.32264,0.15037,1.97275,16.5,21.8,,,,
2019-09-17 19:43:46 IST,72,57.1,24.2,28.25561,0.147,2.17902,16.9,23.5,,,,
2019-09-17 19:44:02 IST,73,57.6,24.2,22.84012,0.15718,1.70496,17.1,20.6,,,,
2019-09-17 19:44:19 IST,74,57.4,24.2,22.11979,0.15604,1.54592,16.3,20,,,,
2019-09-17 19:44:35 IST,75,57.9,24.3,26.79817,0.147,2.0061,14.3,18.9,,,,
2019-09-17 19:44:52 IST,76,57.7,24.3,27.2788,0.14924,2.09127,13.1,18,,,,
2019-09-17 19:45:08 IST,77,57.7,24.3,23.57327,0.15376,1.69005,13.7,19.3,,,,
2019-09-17 19:45:25 IST,78,57.2,24.3,26.00842,0.1549,1.93979,14.2,19.1,,,,
2019-09-17 19:45:41 IST,79,57,24.3,24.77361,0.1549,1.78087,13.7,18.4,,,,
2019-09-17 19:45:58 IST,80,57,24.3,24.6217,0.1549,1.78087,13.7,16.3,,,,
2019-09-17 19:46:15 IST,81,57,24.2,25.69643,0.15376,1.75023,13.9,18.3,,,,
2019-09-17 19:46:31 IST,82,57.3,24.2,24.77361,0.15604,1.78087,14.1,19.2,,,,
2019-09-17 19:46:48 IST,83,57.3,24.1,23.27846,0.15947,1.66051,14.3,17.5,,,,
2019-09-17 19:47:04 IST,84,57.5,24.1,23.87018,0.15604,1.84329,13.9,16,,,,
2019-09-17 19:47:21 IST,85,57.6,24.1,23.42561,0.16063,1.64588,14.1,18,,,,
2019-09-17 19:47:37 IST,86,57.3,24,24.3195,0.15718,1.75023,14.7,18.9,,,,
2019-09-17 19:47:54 IST,87,57.4,24.1,23.57327,0.16178,1.69005,14.3,18.7,,,,
2019-09-17 19:48:10 IST,88,57,23.9,23.42561,0.16409,1.67524,14.1,18.3,,,,
2019-09-17 19:48:27 IST,89,56.9,23.8,25.07904,0.16178,1.84329,14.2,17.2,,,,
2019-09-17 19:48:44 IST,90,57,23.8,22.84012,0.16876,1.57404,14,17.3,,,,
2019-09-17 19:49:00 IST,91,57.2,23.7,22.26284,0.16993,1.57404,14.1,18,,,,
2019-09-17 19:49:17 IST,92,57,23.6,22.40639,0.17228,1.57404,14.2,17.9,,,,
2019-09-17 19:49:34 IST,93,57,23.5,24.47033,0.16876,1.78087,14.2,19.6,,,,
2019-09-17 19:49:50 IST,94,57.2,23.4,24.77361,0.16993,1.78087,14.5,18.8,,,,
2019-09-17 19:50:07 IST,95,57.2,23.3,22.69503,0.17465,1.58823,14.4,18.5,,,,
2019-09-17 19:50:23 IST,96,57.3,23.3,22.55046,0.17703,1.60251,14.6,19.1,,,,
2019-09-17 19:50:40 IST,97,57.3,23.2,22.84012,0.17822,1.57404,14,18.4,,,,
2019-09-17 19:50:56 IST,98,57.3,23.2,24.6217,0.17584,1.75023,14.1,19,,,,
2019-09-17 19:51:12 IST,99,57.3,23.1,24.77361,0.17703,1.7655,14.3,18.8,,,,
2019-09-17 19:51:29 IST,100,57.4,23,24.1692,0.17942,1.73504,14.1,16.5,,,,
2019-09-17 19:51:46 IST,101,57.3,22.9,24.3195,0.18061,1.75023,13.7,16.3,,,,
2019-09-17 19:52:02 IST,102,57.6,22.9,22.40639,0.18423,1.50438,13.9,16.6,,,,
2019-09-17 19:52:20 IST,103,57.7,23,24.1692,0.18182,1.73504,14.5,17.5,,,,
2019-09-17 19:52:36 IST,104,58.1,22.9,24.6217,0.18061,1.79633,14.3,17.7,,,,
2019-09-17 19:52:52 IST,105,58.8,23,24.47033,0.18061,1.79633,14.4,17.2,,,,
2019-09-17 19:53:08 IST,106,59.8,23,24.77361,0.18061,1.79633,13.9,17.2,,,,
2019-09-17 19:53:24 IST,107,61,23.1,24.77361,0.17942,1.79633,14,17.7,,,,
2019-09-17 19:53:41 IST,108,62.1,23.1,24.92605,0.17942,1.79633,14.2,17.3,,,,
2019-09-17 19:53:57 IST,109,62.7,23.2,24.92605,0.17822,1.79633,14.2,18.5,,,,
2019-09-17 19:54:13 IST,110,63.4,23.3,24.92605,0.17942,1.78087,14.7,18.7,,,,
2019-09-17 19:54:29 IST,111,63.8,23.4,22.98572,0.18061,1.60251,15.4,17.9,,,,
2019-09-17 19:54:46 IST,112,64.6,23.5,22.98572,0.17942,1.58823,15.3,19.5,,,,
2019-09-17 19:55:03 IST,113,65.2,23.6,24.77361,0.17465,1.82754,15.1,18.5,,,,
2019-09-17 19:55:21 IST,114,65.4,23.7,24.92605,0.17465,1.79633,15.1,17.7,,,,
2019-09-17 19:55:37 IST,115,65.4,23.7,24.92605,0.17465,1.79633,14.8,17.8,,,,
2019-09-17 19:55:54 IST,116,65.6,23.8,24.77361,0.17465,1.81189,15,18.7,,,,
2019-09-17 19:56:10 IST,117,65.9,23.9,24.77361,0.17347,1.81189,15,18.4,,,,
2019-09-17 19:56:27 IST,118,66.1,23.8,24.92605,0.17465,1.79633,15.1,18,,,,
2019-09-17 19:56:43 IST,119,66.3,23.9,22.84012,0.17822,1.57404,15.2,17.8,,,,
2019-09-17 19:57:00 IST,120,66.4,24,24.6217,0.17347,1.79633,15.7,18.3,,,,
2019-09-17 19:57:17 IST,121,66.9,24,22.84012,0.17822,1.58823,15.8,19.3,,,,
2019-09-17 19:57:34 IST,122,66.9,24,24.77361,0.17465,1.78087,15.6,17.5,,,,
2019-09-17 19:57:51 IST,123,67.3,24,24.92605,0.17584,1.78087,15.5,18.2,,,,
2019-09-17 19:58:07 IST,124,67.8,24.1,24.92605,0.17703,1.81189,15.4,19.4,,,,
2019-09-17 19:58:24 IST,125,68.1,23.9,22.84012,0.17822,1.60251,15.6,21.2,,,,
2019-09-17 19:58:40 IST,126,68.6,24,24.77361,0.17465,1.81189,15.6,20.1,,,,
2019-09-17 19:58:57 IST,127,68.8,24,24.6217,0.17584,1.79633,15.8,18.2,,,,
