created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2019-09-22 01:25:19 IST,86,85.90000,29,32.92054,0.13484,4.32644,12.60,33.20,,,,
2019-09-22 01:25:37 IST,87,85.80000,29,32.92054,0.13266,4.32644,12.50,30.90,,,,
2019-09-22 01:25:55 IST,88,85.90000,29,33.28448,0.13266,4.32644,13.00,37.40,,,,
2019-09-22 01:26:13 IST,89,86.30000,29,33.10218,0.13266,4.32644,12.10,36.20,,,,
2019-09-22 01:26:32 IST,90,86.80000,29,32.92054,0.13375,4.32644,11.80,31.90,,,,
2019-09-22 01:26:49 IST,91,86.10000,29,31.66726,0.13484,4.11738,11.80,32.30,,,,
2019-09-22 01:27:08 IST,92,86.10000,29,32.92054,0.13484,4.29604,12.10,32.80,,,,
2019-09-22 01:27:26 IST,93,86.50000,29,32.92054,0.13593,4.29604,12.40,33.40,,,,
2019-09-22 01:27:44 IST,94,86.90000,29,32.92054,0.13593,4.29604,12.10,30.40,,,,
2019-09-22 01:28:02 IST,95,86.60000,29,32.92054,0.13593,4.29604,12.00,32.20,,,,
2019-09-22 01:28:21 IST,96,86.50000,29,32.92054,0.13703,4.26582,12.00,32.70,,,,
2019-09-22 01:28:38 IST,97,86.90000,29,32.73955,0.13812,4.29604,12.80,31.50,,,,
2019-09-22 01:28:56 IST,98,86.40000,29,33.10218,0.13812,4.29604,13.10,33.00,,,,
2019-09-22 01:29:13 IST,99,86.30000,29,32.73955,0.13922,4.23578,12.30,27.60,,,,
2019-09-22 01:29:32 IST,100,86.20000,29,32.92054,0.14033,4.20592,13.10,30.20,,,,
2019-09-22 01:29:50 IST,101,86.30000,29,32.73955,0.14033,4.23578,12.80,30.10,,,,
2019-09-22 01:30:08 IST,102,86.30000,29,32.92054,0.14143,4.23578,11.70,31.30,,,,
2019-09-22 01:30:25 IST,103,86.40000,29,32.92054,0.14254,3.91678,12.10,30.30,,,,
2019-09-22 01:30:44 IST,104,86.30000,29,32.92054,0.14254,4.20592,12.50,27.10,,,,
2019-09-22 01:31:02 IST,105,86.30000,29,32.73955,0.14254,4.23578,12.50,27.60,,,,
2019-09-22 01:31:20 IST,106,86.40000,29,32.73955,0.14254,4.20592,11.90,31.20,,,,
2019-09-22 01:31:38 IST,107,86.30000,29,32.73955,0.14365,4.20592,11.90,33.80,,,,
2019-09-22 01:31:57 IST,108,86.50000,29,32.73955,0.14476,4.20592,12.70,36.10,,,,
2019-09-22 01:32:15 IST,109,86.60000,29,32.73955,0.14588,4.20592,12.30,31.40,,,,
2019-09-22 01:32:32 IST,110,86.80000,29,32.73955,0.14588,4.17623,12.40,31.50,,,,
2019-09-22 01:32:50 IST,111,86.70000,29,32.92054,0.14588,4.20592,12.40,31.40,,,,
2019-09-22 01:33:08 IST,112,87.10000,29,32.73955,0.14588,4.20592,12.40,28.00,,,,
2019-09-22 01:33:26 IST,113,86.80000,29,32.73955,0.14700,4.17623,12.20,30.30,,,,
2019-09-22 01:33:44 IST,114,86.50000,29,32.73955,0.14700,4.23578,12.60,29.10,,,,
2019-09-22 01:34:01 IST,115,86.60000,29,32.92054,0.14812,3.88879,12.80,31.40,,,,
2019-09-22 01:34:19 IST,116,86.60000,29,32.73955,0.14700,4.20592,13.10,33.70,,,,
2019-09-22 01:34:37 IST,117,86.60000,29,32.55922,0.15037,4.20592,12.10,26.10,,,,
2019-09-22 01:34:54 IST,118,86.70000,29,32.73955,0.14812,4.17623,12.00,32.20,,,,
2019-09-22 01:35:12 IST,119,86.30000,29,32.55922,0.14924,4.17623,12.70,32.00,,,,
2019-09-22 01:35:30 IST,120,86.50000,29,32.92054,0.14924,4.17623,12.40,28.60,,,,
2019-09-22 01:35:48 IST,121,86.50000,29,32.73955,0.14924,4.14672,12.10,26.10,,,,
2019-09-22 01:36:06 IST,122,86.50000,29,32.73955,0.15037,4.14672,13.00,28.80,,,,
2019-09-22 01:36:25 IST,123,86.70000,29,32.73955,0.15037,4.14672,13.00,30.50,,,,
2019-09-22 16:45:51 IST,148,74.80000,29,33.46744,0.05143,6.56836,3.10,6.90,,,,
2019-09-22 16:46:09 IST,149,76.30000,29,35.14440,0.05143,6.65669,3.20,7.10,,,,
2019-09-22 16:46:26 IST,150,76.60000,29,34.76698,0.05233,6.48110,3.20,6.20,,,,
2019-09-22 16:46:44 IST,151,76.80000,29,34.39230,0.05414,6.30971,3.10,6.60,,,,
2019-09-22 16:47:02 IST,152,76.30000,29,32.20050,0.05597,5.74145,3.30,6.60,,,,
2019-09-22 16:47:19 IST,153,76.50000,29,33.83537,0.05780,5.89895,3.30,6.20,,,,
2019-09-22 16:47:37 IST,154,76.80000,29,33.65107,0.05871,5.81973,3.10,5.90,,,,
2019-09-22 16:52:15 IST,167,75.40000,29,32.37953,0.06333,5.62578,3.10,7.50,,,,
2019-09-22 16:52:33 IST,168,77.00000,29,34.02034,0.06426,5.85922,3.40,8.90,,,,
2019-09-22 16:57:28 IST,183,75.30000,29,30.61793,0.08136,4.77140,3.00,10.60,,,,
2019-09-22 16:57:46 IST,184,77.20000,29,32.55922,0.08136,5.00811,3.00,11.10,,,,
2019-09-22 16:58:04 IST,185,76.90000,29,32.20050,0.08330,4.93947,3.20,11.00,,,,
2019-09-22 17:00:54 IST,192,75.90000,29,30.27316,0.09614,4.41871,3.30,12.20,,,,
2019-09-22 17:01:12 IST,193,77.80000,29,32.37953,0.09614,4.67292,3.00,9.40,,,,
2019-09-22 17:01:30 IST,194,77.20000,29,32.20050,0.09815,4.64048,3.00,10.40,,,,
2019-09-22 17:10:19 IST,222,76.60000,29,30.27316,0.11875,4.08821,2.30,5.00,,,,
2019-09-22 17:10:37 IST,223,78.00000,29,32.20050,0.11875,4.38777,2.50,5.40,,,,
2019-09-22 17:10:54 IST,224,78.30000,29,32.02211,0.11981,4.32644,2.70,7.30,,,,
2019-09-22 17:11:12 IST,225,78.00000,29,32.20050,0.12619,4.29604,2.60,6.20,,,,
2019-09-22 17:11:30 IST,226,78.10000,29,32.37953,0.12726,4.29604,2.60,5.10,,,,
2019-09-22 17:11:47 IST,227,78.50000,29,32.37953,0.13050,4.23578,2.70,5.80,,,,
2019-09-22 17:12:05 IST,228,78.50000,29,32.20050,0.13375,4.14672,2.80,7.30,,,,
2019-09-22 17:12:23 IST,229,78.00000,29,30.27316,0.13812,3.88879,2.70,5.70,,,,
2019-09-22 17:12:41 IST,230,78.00000,29,31.13976,0.14033,4.11738,2.70,8.70,,,,
2019-09-22 17:32:02 IST,250,85.00000,28,34.20598,0.07083,5.85922,10.30,34.90,,,,
2019-09-22 17:32:19 IST,251,87.10000,28,34.20598,0.07463,5.74145,10.20,33.40,,,,
2019-09-22 17:32:37 IST,252,87.30000,28,33.28448,0.07943,5.40059,10.30,30.80,,,,
2019-09-22 17:32:55 IST,253,87.00000,28,32.37953,0.08428,5.14786,10.10,29.90,,,,
2019-09-22 17:33:46 IST,254,85.60000,28,29.76061,0.09614,4.38777,10.60,29.70,,,,
2019-09-22 17:34:03 IST,255,87.80000,28,31.49080,0.09715,4.57618,10.30,30.60,,,,
2019-09-22 17:34:20 IST,256,87.60000,28,31.31497,0.10017,4.51263,10.40,33.20,,,,
